Coercivity,Crystal_Structure,Curie,Curie(Tc),Curie_Weiss,Curie_Weiss(θp),DOI,Experimental,Lattice_Parameters,Lattice_Structure,Magnetic_Moment,Magnetization,Material_Name,Neel,Neel(Tn),New_Column_Concatenated,Remanence,Space_Group,Susceptibility
,Layered Perovskite,,,,,10.1016/j.jmmm.2022.169165,TRUE,"{'a': '3.8735 Å', 'c': '7.6648 Å'}",Tetragonal,"Fe: 2.15 μB, Cu: -0.43 μB (at 438 K); Fe: 2.19 μB, Cu: -0.44 μB (at 175 K)",,YBaCuFeO5,306.5,"438 K, 175 K",O5.0Fe1Cu1Y1Ba1,,P4mm,
,tetragonal,559.2,559.2 K,,,10.1016/j.jmmm.2019.165983,TRUE,,tP,1.76 μB,,Pr2Fe14B,,,B1Fe14.0Pr2.0,,P 42/mnm,
,tetragonal,1018,1018 K,,,10.1016/j.jmmm.2019.165983,TRUE,,tI,,,Fe2B,,,B1Fe2.0,,I 4/mcm,
,orthorhombic,600,600 K,,,10.1016/j.jmmm.2019.165983,TRUE,,oP,,,FeB,,,B1Fe1,,Pnma,
,rhombohedral,283,283 K,,,10.1016/j.jmmm.2019.165983,TRUE,,hR,,,Pr2Fe17,,,Fe17.0Pr2.0,,R -3 m,
,Amorphous,,,-0.7 K,-0.7,10.1016/j.jmmm.2015.11.075,TRUE,,,3.8 μB,,Gd2O3,,,O3.0Gd2.0,,,Curie–Weiss dependence
,,,,,,10.1016/j.jmmm.2003.11.061,TRUE,,,,,CePd2Ge2,5,5 K,Ge2.0Pd2.0Ce1,,,
,Cubic I-phase,356,356 K,,,10.1016/j.jmmm.2008.02.139,TRUE,,Pseudo-cubic,,,Ni49.6Mn21.9Ga28.5,,,Mn21.9Ni49.6Ga28.5,,,
,Tetragonal 10M-martensite,368,368 K,,,10.1016/j.jmmm.2008.02.139,TRUE,,Tetragonal,,,Ni49.2Mn26.6Ga24.2,,,Mn26.6Ni49.2Ga24.2,,,
,Tetragonal 10M-martensite,341,341 K,,,10.1016/j.jmmm.2008.02.139,TRUE,,Tetragonal,,,Ni54.3Mn20.5Ga25.2,,,Mn20.5Ni54.3Ga25.2,,,
,Tetragonal 2M-martensite,373,373 K,,,10.1016/j.jmmm.2008.02.139,TRUE,,Tetragonal,,,Ni53.1Mn26.6Ga20.3,,,Mn26.6Ni53.1Ga20.3,,,
95 A/m,"α-(Fe,Co)(Si,Al)",736,736 K,,,10.1016/j.jmmm.2003.12.1315,TRUE,,,,"119 emu/g (as-spun), 133 emu/g (annealed)",Fe40Co40Cu0.5Zr9Al2Si4B4.5,,,B4.5Al2.0Si4.0Fe40.0Co40.0Cu0.5Zr9.0,,,
,,600,600 K,,,10.1016/j.jmmm.2010.11.082,TRUE,,,,1.03 T,FePt,,,Fe1Pt1,,,
,Orthorhombic,,,,,10.1016/j.jmmm.2006.10.486,TRUE,,ε-TiNiSi type,,,CeNiSnH1.0,4.5,4.5 K,H1.0Ni1Sn1Ce1,,,
,Monoclinic,,,-86.7 K,-86.7,10.1016/j.jmmm.2018.05.055,TRUE,,,6.17 μB/Fe3+,"0.96 μB (H ⊥ a), 1.25 μB (H // a)",FeNbO4,41,41 K,O4.0Fe1Nb1,,P 2/a,
,CeNiC2-type,10,10.0 K,,,10.1016/j.jmmm.2014.08.085,TRUE,,Orthorhombic,6.0 μB at 1.7 K,,DyCoC2,,,C2.0Co1Dy1,,Amm2,
,CeNiC2-type,,,,,10.1016/j.jmmm.2014.08.085,TRUE,,Orthorhombic,,,DyNiC2,7.6,7.6 K,C2.0Ni1Dy1,,Amm2,
,CeNiC2-type,7.3,7.3 K,,,10.1016/j.jmmm.2014.08.085,TRUE,,Orthorhombic,,,DyCo0.67Ni0.33C2,,,C2.0Co0.67Ni0.33Dy1,,Amm2,
"6200 Oe at 150 K, 1100 Oe at room temperature",Spinel,600,600 K,,,10.1016/j.jmmm.2009.04.036,TRUE,,Polycrystalline,,,CoFe2O4,,,O4.0Fe2.0Co1,,,
,,160,160,,,10.1016/j.jmmm.2007.04.033,TRUE,,,,,SrRuO3,,,O3.0Sr1Ru1,,,
,Cubic,548.7,548.7 K,,,10.1016/j.jmmm.2021.168303,TRUE,{'a': '5.97 Å'},L21,2 μB/f.u.,,Co2NbGa,,,Co2.0Ga1Nb1,,,
,Sapphire-like,,,,,10.1016/j.jmmm.2019.166362,TRUE,,Hexagonal,,,Cr2O3,260,260 K,O3.0Cr2.0,,R-3c,
,Sapphire-like,,,,,10.1016/j.jmmm.2019.166362,TRUE,,Hexagonal,,,Cr2O3,60,60 K,O3.0Cr2.0,,R-3c,
,Cubic (Fd-3m) + Orthorhombic (Fddd),89,89 K,,,10.1016/j.jmmm.2018.01.072,TRUE,"{'a': '8.3242 Å (Cubic), 8.3400 Å (Orthorhombic)', 'b': '8.3483 Å (Orthorhombic)', 'c': '8.2890 Å (Orthorhombic)'}",Cubic + Orthorhombic,,,Co0.8Cu0.2Cr2O4,,,O4.0Cr2.0Co0.8Cu0.2,,Fd-3m + Fddd,
,,720,720 K,,,10.1016/j.jmmm.2022.170041,TRUE,"{'a': '2.73 Å', 'c': '3.85 Å'}",,3.23 μB,1043 emu/cm^3,FePt,,,Fe1Pt1,,,
,,585,585 K,,,10.1016/j.jmmm.2022.170041,TRUE,,,,,NdFeB,,,B1Fe1Nd1,,,
,L21,820,820 K,,,10.1016/j.jmmm.2021.168352,TRUE,{'a': '5.755 Å'},Cubic,5.21 μB/f.u.,,Co2Fe0.75V0.25Ge,,,V0.25Fe0.75Co2.0Ge1,,Fm-3m,
,L21,790,790 K,,,10.1016/j.jmmm.2021.168352,TRUE,{'a': '5.760 Å'},Cubic,4.78 μB/f.u.,,Co2Fe0.625V0.375Ge,,,V0.375Fe0.625Co2.0Ge1,,Fm-3m,
,Cubic,29.4,29.4 K,,,10.1016/S0304-8853(03)00246-4,TRUE,{'a': '4.560'},,2.0 μB (Mn),,MnSi,,,Si1Mn1,,P213,
,Inverse Spinel,870,870 K,,,10.1016/j.jmmm.2019.01.001,TRUE,{'a': '8.345 Å'},Cubic,,,NiFe2O4,,,O4.0Fe2.0Ni1,,Fd3m,
,Rhombohedral perovskite,328,328 K,,,10.1016/S0304-8853(01)00263-3,TRUE,,,,,La0.67Sr0.33Mn0.9Cr0.1O3,,,O3.0Cr0.1Mn0.9Sr0.33La0.67,,,
,,230,230 K,,,10.1016/S0304-8853(01)00263-3,TRUE,,,,,La0.8Ca0.2MnO3,,,O3.0Ca0.2Mn1La0.8,,,
,,267,267 K,,,10.1016/S0304-8853(01)00263-3,TRUE,,,,,La0.67Ca0.33MnO3,,,O3.0Ca0.33Mn1La0.67,,,
,,263,263 K,,,10.1016/S0304-8853(01)00263-3,TRUE,,,,,La0.6Ca0.4MnO3,,,O3.0Ca0.4Mn1La0.6,,,
,,103,103 K,,,10.1016/S0304-8853(01)00263-3,FALSE,,,,,La0.65Ca0.35Mn0.9Ti0.1O3,,,O3.0Ca0.35Ti0.1Mn0.9La0.65,,,
,,197,197 K,,,10.1016/S0304-8853(01)00263-3,FALSE,,,,,La0.87Sr0.13MnO3,,,O3.0Mn1Sr0.13La0.87,,,
,,244,244 K,,,10.1016/S0304-8853(01)00263-3,TRUE,,,,,La0.84Sr0.16MnO3,,,O3.0Mn1Sr0.16La0.84,,,
,,294,294 K,,,10.1016/S0304-8853(01)00263-3,TRUE,,,,,Gd,,,Gd1,,,
,,265,265 K,,,10.1016/S0304-8853(01)00263-3,FALSE,,,,,Gd0.73Dy0.27,,,Gd0.73Dy0.27,,,
,Orthorhombic,,,-90 K,-90,10.1016/j.jmmm.2003.12.596,TRUE,,,,,Ce3Rh2Ge2,7,7 K,Ge2.0Rh2.0Ce3.0,,Pbcm,
,A2,300,300 K,,,10.1016/j.jmmm.2018.05.014,TRUE,,Face centered cubic,1.68 μB/f.u.,171.38 emu/g at 10 K,Co2CrAl,,,Al1Cr1Co2.0,,Im3m,
,B2,900,900 K,,,10.1016/j.jmmm.2018.05.014,TRUE,,Body centered cubic,5.24 μB/f.u.,141.158 emu/g at 10 K,Co2FeAl,,,Al1Fe1Co2.0,,Pm3m,
,Orthorhombic,125,125 K,35 K,35,10.1016/S0304-8853(02)00033-1,TRUE,"{'a': '5.5593 Å', 'b': '7.4154 Å', 'c': '5.1825 Å'}",GdFeO3-type,,,Yb2CoMnO6,,,O6.0Mn1Co1Yb2.0,,Pnma,
,Orthorhombic,112,112 K,,,10.1016/S0304-8853(02)00033-1,TRUE,,GdFeO3-type,,,Gd2CoMnO6,,,O6.0Mn1Co1Gd2.0,,,
,Hexagonal,,,,,10.1016/j.jmmm.2004.08.001,TRUE,"{'a': '4.193 Å', 'c': '6.752 Å'}",NiAs-type,"0.92 μB at 300 K, 2.06 μB at 10 K",,MnTe,310,310 K,Mn1Te1,,P63/mmc,Sharp rise at 83 K
,,1100,1100 K,,,10.1016/j.jmmm.2022.169615,TRUE,,,6 μB/f.u.,,Co2FeSi,,,Si1Fe1Co2.0,,,
,Tetragonal,,,,,10.1016/j.jmmm.2003.11.036,TRUE,,Square lattice,,,YbRh2Si2,0.07,0.07 K,Si2.0Rh2.0Yb1,,,Curie-Weiss type behavior with negative Weiss temperature
,,300,300 K,,,10.1016/j.jmmm.2014.01.049,TRUE,,,,,YBaCo2O5.5,,,O5.5Co2.0Y1Ba1,,,
,f.c.c.,,,,,10.1016/j.jmmm.2008.02.063,TRUE,,,,,CoO,293,293 K,O1Co1,,,
,Pyrochlore,,,-1.35 K,-1.35,10.1016/j.jmmm.2018.04.060,TRUE,,Cubic,0.679 μB,,Eu2Ti2O7,,,O7.0Ti2.0Eu2.0,,Fd-3m,
,Rhombohedral,246,246 K,,,10.1016/j.jmmm.2019.166192,TRUE,"{'a': '5.5281 Å (300 K), 5.5170 Å (4 K)', 'c': '13.3590 Å (300 K), 13.3175 Å (4 K)'}",R3̄c,3.37 μB (4 K),,La0.85Ag0.15MnO3.10,,,O3.1Mn1Ag0.15La0.85,,R3̄c,
,Orthorhombic,,,,,10.1016/j.jmmm.2019.166192,TRUE,"{'a': '5.507 Å (300 K), 5.523 Å (4 K)', 'b': '7.836 Å (300 K), 7.777 Å (4 K)', 'c': '5.494 Å (300 K), 5.482 Å (4 K)'}",Pnma,,,LaMnO3,140,140 K,O3.0Mn1La1,,Pnma,
,Orthorhombic,,,,,10.1016/j.jmmm.2017.04.054,TRUE,"{'a': '0.54 nm', 'b': '0.56 nm', 'c': '0.77 nm'}",,,,SmFeO3,708,708 K,O3.0Fe1Sm1,,Pbnm,
,BaCd11 type,419,419 K,434 K,434,10.1016/S0304-8853(02)00439-0,TRUE,,,2.00 μB per Fe atom,15.26 μB/f.u. at 5 K,ThFe11C1.5,,,C1.5Fe11.0Th1,,I4/amd,
,BaCd11 type,512,512 K,526 K,526,10.1016/S0304-8853(02)00439-0,TRUE,,,1.88 μB per Fe atom,22.00 μB/f.u. at 5 K,ThFe11C1.8,,,C1.8Fe11.0Th1,,I4/amd,
,Bixbyite,,,-10.2 K,-10.2,10.1016/j.jmmm.2014.05.026,TRUE,{'a': '10.55 Å'},Cubic,6.68 μB/Er3+,,Er2O3,3.3,3.3 K,O3.0Er2.0,,,
,,,,,,10.1016/j.jmmm.2014.05.026,TRUE,,,,,Dy2O3,1.2,1.2 K,O3.0Dy2.0,,,
,,,,,,10.1016/j.jmmm.2014.05.026,TRUE,,,,,Yb2O3,2.3,2.3 K,O3.0Yb2.0,,,
,Orthorhombic,250,250K,,,10.1016/S0304-8853(01)00495-4,TRUE,"{'a': '5.436 Å', 'b': '7.673 Å', 'c': '5.442 Å'}",Perovskite,3.1 μB,,La0.6Ca0.4MnO3,,,O3.0Ca0.4Mn1La0.6,,Pnma,
,Body-Centered Tetragonal,,,,,10.1016/j.jmmm.2003.11.238,TRUE,"{'a': '860 pm', 'c': '499 pm'}",Tetragonal,1.08 μB at 8K,,ScFe4Al8,250,250K,Al8.0Sc1Fe4.0,,I4/mmm,
,,367,367 K,,,10.1016/j.jmmm.2017.11.126,TRUE,"{'a': '5.5053 Å', 'b': '5.5053 Å', 'c': '13.3864 Å'}",,,,La0.75Sr0.25MnO3,,,O3.0Mn1Sr0.25La0.75,,,
,Cubic,266,266 K,,,10.1016/j.jmmm.2008.06.004,TRUE,{'a': '3.912 Å'},,,,La0.67Ba0.33MnO3,,,O3.0Mn1Ba0.33La0.67,,,
,Orthorhombic,269,269 K,261 K,261,10.1016/j.jmmm.2018.01.084,TRUE,"{'a': '5.463 Å', 'b': '7.697 Å', 'c': '5.450 Å'}",Perovskite,6.21 μB,3.3 μB/Mn,La0.6Ca0.4MnO3,,,O3.0Ca0.4Mn1La0.6,,Pnma,
,Orthorhombic,267,267 K,265 K,265,10.1016/j.jmmm.2018.01.084,TRUE,"{'a': '5.472 Å', 'b': '7.724 Å', 'c': '5.459 Å'}",Perovskite,6.56 μB,3.5 μB/Mn,La0.6Ca0.3Ag0.1MnO3,,,O3.0Ca0.3Mn1Ag0.1La0.6,,Pnma,
,Cubic Laves phase,12,12 K,,,10.1016/j.jmmm.2020.167207,TRUE,,,,,ErAl2,,,Al2.0Er1,,,
,,,,,,10.1016/j.jmmm.2020.167207,TRUE,,,,,Er2O3,3.4,3.4 K,O3.0Er2.0,,,
,CsCl,,,,,10.1016/j.jmmm.2017.04.005,TRUE,,Simple cubic,,,GdCu,145,145 K,Cu1Gd1,,,
,CsCl,270,270 K,,,10.1016/j.jmmm.2017.04.005,TRUE,,Simple cubic,,,GdZn,,,Zn1Gd1,,,
,Orthorhombic CrB,200,200 K,,,10.1016/j.jmmm.2017.04.005,TRUE,,,,,GdGa,,,Ga1Gd1,,,
,CsCl,265,265 K,,,10.1016/j.jmmm.2017.04.005,TRUE,,Simple cubic,,,GdCd,,,Cd1Gd1,,,
,CsCl,120,120 K,,,10.1016/j.jmmm.2017.04.005,TRUE,,Simple cubic,,,GdMg,,,Mg1Gd1,,,
,Amorphous,213.5,208-219 K,,,10.1016/j.jmmm.2012.09.002,TRUE,,,8.26 μB per Gd atom,,Gd4Co3,,,Co3.0Gd4.0,,,
,Crystal,219,219 K,,,10.1016/j.jmmm.2012.09.002,TRUE,,,,,Gd6Co4.85,,,Co4.85Gd6.0,,,
,Crystal,220,220 K,,,10.1016/j.jmmm.2012.09.002,TRUE,,,,,Gd4Co3,,,Co3.0Gd4.0,,,
,Hexagonal ZrNiAl-type,,,6.5 K,6.5,10.1016/j.jmmm.2010.02.005,TRUE,"{'a': '7.594 Å', 'c': '3.769 Å'}",Hexagonal,5.59 μB,4.5 μB at 1.72 K and 5 T,TmPtIn,3.5,3.5 K,In1Tm1Pt1,,P6̅2m,
,,,,,,10.1016/j.jmmm.2010.02.005,TRUE,,,,,YbPtIn,3.4,3.4 K,In1Yb1Pt1,,,
,,25,25 K,,,10.1016/j.jmmm.2010.02.005,FALSE,,,,,SmPtIn,,,In1Sm1Pt1,,,
,,89,89 K,,,10.1016/j.jmmm.2010.02.005,FALSE,,,,,GdPtIn,,,In1Gd1Pt1,,,
,,38,38 K,,,10.1016/j.jmmm.2010.02.005,TRUE,,,,,DyPtIn,,,In1Dy1Pt1,,,
,,23.5,23.5 K,,,10.1016/j.jmmm.2010.02.005,TRUE,,,,,HoPtIn,,,In1Ho1Pt1,,,
,,8.5,8.5 K,,,10.1016/j.jmmm.2010.02.005,TRUE,,,,,ErPtIn,,,In1Er1Pt1,,,
,,,,,,10.1016/j.jmmm.2010.02.005,FALSE,,,,,TbPtIn,50,50 K,In1Tb1Pt1,,,
,Wurtzite,175,175 K,,,10.1016/j.jmmm.2016.06.007,TRUE,{'c': '0.5217 nm'},Hexagonal,,,ZnO,,,O1Zn1,,P63mc,
70 Oe,Wurtzite,300,>300 K,,,10.1016/j.jmmm.2016.06.007,TRUE,{'c': '0.5193 nm'},Hexagonal,,,Zn0.95Fe0.05O,,,O1Fe0.05Zn0.95,,P63mc,
70 Oe,Wurtzite,300,>300 K,,,10.1016/j.jmmm.2016.06.007,TRUE,{'c': '0.5193 nm'},Hexagonal,,,Zn0.92Al0.03Fe0.05O,,,O1Al0.03Fe0.05Zn0.92,,P63mc,
,Hexagonal,,,,,10.1016/j.jmmm.2012.11.040,TRUE,"{'a': '5.226', 'c': '14.325'}",Ilmenite-type,3.7 μB/f.u.,,Mn2FeSbO6,268,268,O6.0Mn2.0Fe1Sb1,,R-3,
,Hexagonal,,,,,10.1016/j.jmmm.2012.11.040,TRUE,"{'a': '5.237', 'c': '14.349'}",Ilmenite-type,4.35 μB/f.u.,63.1 Am^2/kg,Mn2FeSbO6,264,264,O6.0Mn2.0Fe1Sb1,,R-3,
16.251 kOe,Monoclinic,33,33 K,-40 K,-40,10.1016/j.jmmm.2020.167276,TRUE,"{'a': '5.229 Å', 'b': '5.603 Å', 'c': '7.448 Å'}",P21/n,6.788 μB/f.u.,,Y2CrMnO6,,,O6.0Cr1Mn1Y2.0,7.89 emu/g,P21/n,
,,74,74 K,,,10.1016/j.jmmm.2020.167276,TRUE,,,,,Y2CrMnO6,,,O6.0Cr1Mn1Y2.0,,,
,,75,75 K,,,10.1016/j.jmmm.2020.167276,TRUE,,,,,Y2CrMnO6,,,O6.0Cr1Mn1Y2.0,,,
2.8 T,CeScSi,,,20 K,20,10.1016/j.jmmm.2012.03.037,TRUE,"{'a': '4.557', 'c': '16.405'}",Tetragonal,2.25 μB,1.1 μB/f.u. at 5 K for μ0H=9 T,CeMgPb,7,7 K,Mg1Ce1Pb1,,I4/mmm,
2.2 T,CeScSi,,,14 K,14,10.1016/j.jmmm.2012.03.037,TRUE,"{'a': '4.532', 'c': '16.328'}",Tetragonal,1.80 μB,1.5 μB/f.u. at 5 K for μ0H=9 T,PrMgPb,11,11 K,Mg1Pr1Pb1,,I4/mmm,
6.2 T,CeScSi,,,16 K,16,10.1016/j.jmmm.2012.03.037,TRUE,"{'a': '4.510', 'c': '16.259'}",Tetragonal,3.38 μB,1.0 μB/f.u. at 5 K for μ0H=9 T,NdMgPb,24,24 K,Mg1Nd1Pb1,,I4/mmm,
,CeScSi,,,,,10.1016/j.jmmm.2012.03.037,TRUE,"{'a': '4.471', 'c': '16.156'}",Tetragonal,,0.02 μB/f.u. at 5 K for μ0H=9 T,SmMgPb,61,61 K,Mg1Sm1Pb1,,I4/mmm,
,CeScSi,,,-3 K,-3,10.1016/j.jmmm.2012.03.037,TRUE,"{'a': '4.444', 'c': '16.045'}",Tetragonal,,1.3 μB/f.u. at 5 K for μ0H=9 T,GdMgPb,47,47 K,Mg1Gd1Pb1,,I4/mmm,
7.0 T,CeScSi,,,-11 K,-11,10.1016/j.jmmm.2012.03.037,TRUE,"{'a': '4.423', 'c': '15.987'}",Tetragonal,8.11 μB,3.7 μB/f.u. at 5 K for μ0H=9 T,TbMgPb,35,35 K,Mg1Tb1Pb1,,I4/mmm,
2.6 T,CeScSi,,,-10 K,-10,10.1016/j.jmmm.2012.03.037,TRUE,"{'a': '4.407', 'c': '15.947'}",Tetragonal,8.12 μB,7.2 μB/f.u. at 5 K for μ0H=9 T,DyMgPb,26,26 K,Mg1Dy1Pb1,,I4/mmm,
2.0 T,CeScSi,,,0 K,0,10.1016/j.jmmm.2012.03.037,TRUE,"{'a': '4.395', 'c': '15.904'}",Tetragonal,9.56 μB,8.9 μB/f.u. at 5 K for μ0H=9 T,HoMgPb,16,16 K,Mg1Ho1Pb1,,I4/mmm,
1.6 T,CeScSi,,,7 K,7,10.1016/j.jmmm.2012.03.037,TRUE,"{'a': '4.382', 'c': '15.869'}",Tetragonal,7.61 μB,7.2 μB/f.u. at 5 K for μ0H=9 T,ErMgPb,6,6 K,Mg1Er1Pb1,,I4/mmm,
,CeScSi,,,19 K,19,10.1016/j.jmmm.2012.03.037,TRUE,"{'a': '4.369', 'c': '15.843'}",Tetragonal,4.03 μB,5.6 μB/f.u. at 5 K for μ0H=9 T,TmMgPb,2.5,2.5 K,Mg1Tm1Pb1,,I4/mmm,
,Orthorhombic,123,123 K,204 K,204,10.1016/j.jmmm.2015.01.039,TRUE,"{'a': '5.407 Å', 'b': '7.662 Å', 'c': '5.398 Å'}",Pnma,6.04 μB,,La0.4Sm0.1Ca0.5MnO3,,,O3.0Ca0.5Mn1La0.4Sm0.1,,62,
,,220,220 K,,,10.1016/j.jmmm.2015.01.039,TRUE,,,,,La0.5Ca0.5MnO3,,,O3.0Ca0.5Mn1La0.5,,,
,L21,307.3,307.3 K,,,10.1016/j.jmmm.2018.07.048,TRUE,{'a': '5.945 Å'},Body centered cubic,,,Ni45Mn44Sn11,,,Mn44.0Ni45.0Sn11.0,,Fm-3m,
,"Cubic (room temperature), Tetragonal (below 186 K), Monoclinic (below 88 K)",,,,,10.1016/j.jmmm.2020.166533,TRUE,,Perovskite,,,KMn0.97Ni0.03F3,88,88 K,F3.0K1Mn0.97Ni0.03,,,
,Orthorhombic,27,27 K,,,10.1016/j.jmmm.2020.166533,TRUE,,,,,YTiO3,,,O3.0Ti1Y1,,,
,"Cubic (room temperature), Tetragonal (below 114 K)",,,,,10.1016/j.jmmm.2020.166533,TRUE,,Perovskite,,,KCoF3,114,114 K,F3.0K1Co1,,,
,Hexagonal,,,,,10.1016/j.jmmm.2020.166533,TRUE,,,,,CsNiF3,2.63,2.63 K,F3.0Ni1Cs1,,,
,Hexagonal,,,,,10.1016/j.jmmm.2020.166533,TRUE,,,,,CsNiCl3,4.74,4.74 K,Cl3.0Ni1Cs1,,,
,Orthorhombic,,,,,10.1016/j.jmmm.2020.166533,TRUE,,,,,LaMnO3,139.5,139.5 K,O3.0Mn1La1,,,
,Orthorhombic,485,485 K,,,10.1016/j.jmmm.2017.10.114,TRUE,"{'a': '0.5081 nm', 'b': '0.6734 nm', 'c': '0.4517 nm'}",,1.80 μB/Fe-atom,1.30 MJ/Tm^3,Fe3C,,,C1Fe3.0,,Pnma,
,Amorphous,360,360 K,,,10.1016/j.jmmm.2019.03.130,TRUE,,,"18.04 emu/g (max), 0.216 emu/g (min)",,Co90Nb10Ta3,,,Co90.0Nb10.0Ta3.0,,,
,,293,293 K,,,10.1016/j.jmmm.2019.03.130,TRUE,,,,,Gd,,,Gd1,,,
,,278,278 K,,,10.1016/j.jmmm.2019.03.130,TRUE,,,,,Gd5Si2Ge2,,,Si2.0Ge2.0Gd5.0,,,
,,230,230 K,,,10.1016/j.jmmm.2019.03.130,TRUE,,,,,La0.8Ca0.2MnO3,,,O3.0Ca0.2Mn1La0.8,,,
,,470,470 K,,,10.1016/j.jmmm.2019.03.130,FALSE,,,,,FeCrMoCuGaPCB,,,B1C1P1Cr1Fe1Cu1Ga1Mo1,,,
,Cubic Laves phase,225,225 K,,,10.1016/j.jmmm.2017.03.009,TRUE,{'a': '7.299 Å'},MgCu2-type,2.48 μB/f.u.,55.8 emu/g,CeFe2,,,Fe2.0Ce1,,,
,Cubic,214,214 K,,,10.1016/j.jmmm.2019.165655,TRUE,{'a': '3.86208 Å'},Antiperovskite,,,Fe3.4In0.6N,,,N1Fe3.4In0.6,,Pm-3m,
,zig-zag wall,,,,,10.1016/S0304-8853(00)01316-0,TRUE,,,,,Fe3O2BO3,112,112 K,B1O5.0Fe3.0,,,
,Body-centered-cubic (bcc),456,456 K,,,10.1016/j.jmmm.2006.10.240,TRUE,,,,,Ni,,,Ni1,,,
